type,iri,label,label_de,description,description_de,subclass of,subproperty of,domain,range,same as,equivalent class,equivalent property,note,instance of
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:tagging,tagging,markieren,used with P80 (motivation) for when the user intends to associate a tag with the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, die Zielentität",,,,,http://www.w3.org/ns/oa#tagging,,,Wikibase ID: Q70,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#Class,wgm:birth,Birth,Geburt,a biological event focussing on the context of people coming into life,"ein biologisches Ereignis, das sich auf den Kontext konzentriert, in dem Menschen auf die Welt kommen",https://gitlab.com/nfdi4culture/wikibase4research/model/event,,,,,http://cidoc-crm.org/cidoc-crm/7.1.2/E67_Birth,,Wikibase ID: Q71,
http://www.w3.org/2002/07/owl#Class,wgm:death,Death,Tod,comprises the deaths of human beings,umfasst den Tod von Menschen,https://gitlab.com/nfdi4culture/wikibase4research/model/event,,,,,http://cidoc-crm.org/cidoc-crm/7.1.2/E69_Death,,Wikibase ID: Q72,
http://www.w3.org/2002/07/owl#Class,wgm:country,Country,Land,existing or previously existing country,bestehendes oder ehemals bestehendes Land,https://gitlab.com/nfdi4culture/wikibase4research/model/place,,,,,https://nfdi4culture.de/ontology#Country,,Wikibase ID: Q73,
http://www.w3.org/2002/07/owl#Class,wgm:conceptual_object,Conceptual Object,Begrifflicher Gegenstand,comprises non-material products of our minds and other human produced data,umfasst nicht materielle Produkte unseres Geistes und andere von Menschen produzierte Daten,,,,,,http://www.cidoc-crm.org/cidoc-crm/E28_Conceptual_Object,,Wikibase ID: Q8,
http://www.w3.org/2002/07/owl#Class,wgm:information_object,Information Object,Informationsgegenstand,"comprises identifiable immaterial items, such as data sets, images, texts, multimedia objects, computer code, algorithm or mathematical formulae, that have an objectively recognizable structure and are documented as single units","umfasst identifizierbare immaterielle Güter wie Datensätze, Bilder, Texte, Multimedia-Objekte, Computercode, Algorithmen oder mathematische Formeln, die eine objektiv erkennbare Struktur aufweisen und als einzelne Einheiten dokumentiert sind",https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object,,,,,http://cidoc-crm.org/cidoc-crm/E73_Information_Object,,Wikibase ID: Q9,
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:false,FALSE,FALSE,"value for specific properties, like P83 (verified)","Wert für bestimmte Eigenschaften, wie P83 (verifiziert)",,,,,,https://schema.org/False,,Wikibase ID: Q45,https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object
http://www.w3.org/2002/07/owl#Class,wgm:city,city,Stadt,type of location,Ortstyp,https://gitlab.com/nfdi4culture/wikibase4research/model/place,,,,,,,Wikibase ID: Q74,
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:has_parent,has parent,hat Elternteil,familial relationship,familiäre Beziehung,,,,,,,,"Wikibase ID: P118,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:author,author,Autor:in,creator of a text,Urheber eines Texts,,,,,,,,"Wikibase ID: P124,Wikibase datatype: wikibase-item",
